t,Bulan,Tahun,IHK
1,Januari,2009,112.81
2,Februari,2009,112.56
3,Maret,2009,112.93
4,April,2009,112.76
5,Mei,2009,112.95
6,Juni,2009,113.1
7,Juli,2009,113.51
8,Agustus,2009,114.02
9,September,2009,115.06
10,Oktober,2009,115.2
11,November,2009,115.14
12,Desember,2009,115.73
13,Januari,2010,116.56
14,Februari,2010,116.72
15,Maret,2010,116.8
16,April,2010,117.06
17,Mei,2010,117.35
18,Juni,2010,118.21
19,Juli,2010,119.53
20,Agustus,2010,120.71
21,September,2010,121.32
22,Oktober,2010,121.59
23,November,2010,121.99
24,Desember,2010,122.92
25,Januari,2011,123.5
26,Februari,2011,123.76
27,Maret,2011,123.75
28,April,2011,123.84
29,Mei,2011,124.02
30,Juni,2011,124.55
31,Juli,2011,125.31
32,Agustus,2011,126.75
33,September,2011,126.91
34,Oktober,2011,126.58
35,November,2011,127.18
36,Desember,2011,127.8
37,Januari,2012,128.41
38,Februari,2012,128.63
39,Maret,2012,128.86
40,April,2012,129.03
41,Mei,2012,129.19
42,Juni,2012,129.68
43,Juli,2012,130.39
44,Agustus,2012,131.44
45,September,2012,131.95
46,Oktober,2012,132.65
47,November,2012,132.84
48,Desember,2012,133.58
49,Januari,2013,134.75
50,Februari,2013,135.63
51,Maret,2013,136.2
52,April,2013,135.87
53,Mei,2013,135.77
54,Juni,2013,137.03
55,Juli,2013,141.36
56,Agustus,2013,142.7
57,September,2013,143
58,Oktober,2013,143
59,November,2013,143.15
60,Desember,2013,144.27
61,Januari,2014,110.75
62,Februari,2014,111.3
63,Maret,2014,111.51
64,April,2014,111.55
65,Mei,2014,111.61
66,Juni,2014,112.07
67,Juli,2014,113.38
68,Agustus,2014,113.94
69,September,2014,114.12
70,Oktober,2014,114.58
71,November,2014,116.22
72,Desember,2014,119.41
73,Januari,2015,118.92
74,Februari,2015,119.2
75,Maret,2015,119.43
76,April,2015,119.75
77,Mei,2015,120.16
78,Juni,2015,120.58
79,Juli,2015,121.75
80,Agustus,2015,122.37
81,September,2015,122.38
82,Oktober,2015,122.32
83,November,2015,122.47
84,Desember,2015,123.45
85,Januari,2016,123.65
86,Februari,2016,123.57
87,Maret,2016,123.75
88,April,2016,123.41
89,Mei,2016,123.65
90,Juni,2016,124.29
91,Juli,2016,125.09
92,Agustus,2016,125.1
93,September,2016,125.32
94,Oktober,2016,125.63
95,November,2016,125.93
96,Desember,2016,126.27
97,Januari,2017,127.52
98,Februari,2017,127.94
99,Maret,2017,128
100,April,2017,127.97
101,Mei,2017,128.6
102,Juni,2017,129.19
103,Juli,2017,129.71
104,Agustus,2017,129.88
105,September,2017,129.94
106,Oktober,2017,130.02
107,November,2017,130.12
108,Desember,2017,130.97
109,Januari,2018,131.53
110,Februari,2018,132.02
111,Maret,2018,132.14
112,April,2018,132.22
113,Mei,2018,132.82
114,Juni,2018,133.46
115,Juli,2018,133.81
116,Agustus,2018,133.85
117,September,2018,133.68
118,Oktober,2018,134.05
119,November,2018,134.45
120,Desember,2018,132.25
121,Januari,2019,135.58
122,Februari,2019,135.93
123,Maret,2019,136.12
124,April,2019,136.67
125,Mei,2019,137.47
126,Juni,2019,138.12
127,Juli,2019,138.47
128,Agustus,2019,138.7
129,September,2019,138.65
130,Oktober,2019,138.94
131,November,2019,139.2
132,Desember,2019,139.62
133,Januari,2020,104.56
134,Februari,2020,104.84
135,Maret,2020,105.19
136,April,2020,105.49
137,Mei,2020,105.47
138,Juni,2020,105.53
139,Juli,2020,105.48
140,Agustus,2020,105.37
141,September,2020,105.39
142,Oktober,2020,105.4
143,November,2020,105.68
144,Desember,2020,105.96
145,Januari,2021,106.11
146,Februari,2021,106.3
147,Maret,2021,106.36
148,April,2021,106.45
149,Mei,2021,106.89
150,Juni,2021,106.6
151,Juli,2021,106.56
152,Agustus,2021,106.65
153,September,2021,106.59
154,Oktober,2021,106.67
155,November,2021,107.1
156,Desember,2021,107.58
157,Januari,2022,108.07
158,Februari,2022,108.02
159,Maret,2022,108.49
160,April,2022,109.25
161,Mei,2022,109.32
162,Juni,2022,109.67
163,Juli,2022,110.29
164,Agustus,2022,110.17
165,September,2022,111.5
166,Oktober,2022,111.44
167,November,2022,111.5
168,Desember,2022,112.11
169,Januari,2023,112.21
170,Februari,2023,112.42
171,Maret,2023,112.83
172,April,2023,113.28
173,Mei,2023,113.17
174,Juni,2023,113.18
175,Juli,2023,113.39
176,Agustus,2023,113.4
177,September,2023,113.61
178,Oktober,2023,113.76
179,November,2023,114.1
180,Desember,2023,114.67
